,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
730,CIA,"Citizens, Inc.",114.47M,-5.63%,58558,241.09M
731,FSFG,"First Savings Financial Group, Inc.",114.05M,1.52%,36266,80.32M
732,COOL,Corner Growth Acquisition Corp.,113.89M,-,200,-
733,BYNO,byNordic Acquisition Corporation,113.76M,0.09%,6200,-
734,PGSS,Pegasus Digital Mobility Acquisition Corp.,113.40M,-0.44%,259,-
735,CBFV,"CB Financial Services, Inc.",111.61M,2.18%,4262,69.07M
736,PFTA,Perception Capital Corp. III,111.21M,0.05%,7226,-
737,CMCA,Capitalworks Emerging Markets Acquisition Corp,110.38M,0.82%,2,-
738,HGBL,Heritage Global Inc.,110.35M,-2.00%,165366,60.55M
739,FXNC,First National Corporation,110.23M,-1.51%,3301,55.98M
740,PROP,Prairie Operating Co.,110.20M,11.24%,226289,-
741,CITE,Cartica Acquisition Corp,110.11M,-,1,-
742,TGAA,Target Global Acquisition I Corp.,109.91M,-0.36%,5,-
743,SSSS,SuRo Capital Corp.,109.78M,0.69%,133461,6.60M
744,CHAA,Catcha Investment Corp,108.74M,-1.12%,4492,-
745,PORT,Southport Acquisition Corporation,108.11M,-5.13%,5031,-
746,DPCS,DP Cap Acquisition Corp I,107.41M,-0.36%,78,-
747,WHG,"Westwood Holdings Group, Inc.",107.39M,9.13%,40613,89.78M
748,MCAC,Monterey Capital Acquisition Corporation,107.11M,0.36%,16,-
749,MRBK,Meridian Corporation,106.69M,0.10%,6582,99.43M
750,AFBI,"Affinity Bancshares, Inc.",106.20M,1.05%,2688,30.20M
751,CSLM,CSLM Acquisition Corp,104.61M,-0.15%,3,-
752,GPAC,Global Partner Acquisition Corp II,104.01M,-,8,-
753,TWOA,two,103.96M,1.16%,102,-
754,THCP,Thunder Bridge Capital Partners IV Inc.,103.81M,0.34%,182,-
755,LARK,"Landmark Bancorp, Inc.",103.53M,1.34%,2306,57.78M
756,RVSB,"Riverview Bancorp, Inc.",103.44M,0.41%,52417,53.32M
757,BLUA,BlueRiver Acquisition Corp.,103.42M,1.21%,62702,-
758,MITA,Coliseum Acquisition Corp.,103.41M,-,1,-
759,EBMT,"Eagle Bancorp Montana, Inc.",102.05M,0.71%,14026,83.74M
760,FNWD,Finward Bancorp,102.05M,0.42%,30862,68.25M
761,FNVT,Finnovate Acquisition Corp.,101.94M,-,62,-
762,SFBC,"Sound Financial Bancorp, Inc.",101.21M,2.32%,363,41.05M
763,FTII,FutureTech II Acquisition Corp.,100.91M,-,101,-
764,ATMV,AlphaVest Acquisition Corp,99.98M,0.18%,8500,-
765,ARBK,Argo Blockchain plc,99.69M,5.77%,629979,-
766,GECC,Great Elm Capital Corp.,99.53M,1.93%,50813,35.83M
767,CNGL,Canna-Global Acquisition Corp,99.36M,-,2,-
768,GAMC,Golden Arrow Merger Corp.,99.10M,-0.09%,1,-
769,TENK,TenX Keane Acquisition Ordinary Share,98.80M,-,3526,-
770,PWUP,PowerUp Acquisition Corp.,98.72M,-0.72%,8,-
771,QDRO,Quadro Acquisition One Corp.,98.28M,-0.90%,200,-
772,PROV,"Provident Financial Holdings, Inc.",97.53M,2.25%,9609,40.35M
773,PMGM,Priveterra Acquisition Corp.,97.39M,0.09%,1001,-
774,SRL,Scully Royalty Ltd.,97.37M,2.91%,127,40.69M
775,BSBK,Bogota Financial Corp.,96.67M,0.14%,3577,19.16M
776,BLAC,Bellevue Life Sciences Acquisition Corp.,96.35M,-0.09%,16,-
777,BOWN,Bowen Acquisition Corp,95.56M,0.24%,535,-
778,TBMC,Trailblazer Merger Corporation I,95.34M,-,7664,-
779,OSI,Osiris Acquisition Corp.,94.91M,-0.09%,296,-
780,HSPO,Horizon Space Acquisition I Corp.,93.83M,-,5,-
781,TOP,TOP Financial Group Limited,93.65M,4.35%,227568,11.69M
782,FCAP,"First Capital, Inc.",93.45M,-3.59%,1030,41.66M
783,PFX,PhenixFIN Corporation,93.34M,-0.02%,94,21.15M
784,RBKB,"Rhinebeck Bancorp, Inc.",92.79M,1.72%,1346,42.48M
785,SBFG,"SB Financial Group, Inc.",92.65M,2.96%,3229,56.68M
786,GODN,Golden Star Acquisition Corporation,92.36M,0.09%,1940,-
787,DISA,Disruptive Acquisition Corporation I,91.68M,-1.66%,263,-
788,GLAC,Global Lights Acquisition Corp,91.37M,-0.10%,4,-
789,QETA,Quetta Acquisition Corporation,91.08M,-0.10%,7120,-
790,BLEU,bleuacacia ltd,90.61M,-0.09%,22,-
791,SRBK,"SR Bancorp, Inc.",90.42M,0.11%,57460,-
792,HMNF,"HMN Financial, Inc.",89.96M,-0.98%,1257,38.33M
793,GLLI,Globalink Investment Inc.,89.25M,-0.18%,855,-
794,ARYD,ARYA Sciences Acquisition Corp IV,89.10M,-0.18%,106,-
795,KRNL,"Kernel Group Holdings, Inc.",88.92M,-0.09%,137,-
796,IROH,Iron Horse Acquisitions Corp.,88.81M,-,2,-
797,AACI,Armada Acquisition Corp. I,88.72M,-,4966,-
798,DYCQ,DT Cloud Acquisition Corporation,88.39M,-0.05%,2096,-
799,ONYX,Onyx Acquisition Co. I,87.96M,-0.72%,208,-
800,ACAB,Atlantic Coastal Acquisition Corp. II,87.64M,0.47%,105,-
801,USCT,Roth CH Acquisition Co,87.43M,-,18817,-
802,FLFV,Feutune Light Acquisition Corporation,87.05M,-0.46%,1274,-
803,TMTC,TMT Acquisition Corp,87.02M,0.09%,51477,-
804,GLST,"Global Star Acquisition, Inc.",86.82M,0.94%,109829,-
805,XFIN,ExcelFin Acquisition Corp.,86.43M,-,1,-
806,IVCP,Swiftmerge Acquisition Corp.,86.12M,0.92%,239,-
807,BITE,Bite Acquisition Corp.,85.67M,-,40828,-
808,RWOD,Redwoods Acquisition Corp.,85.46M,15.04%,330,-
809,IMAQ,International Media Acquisition Corp.,85.00M,-,259,-
810,BHAC,Focus Impact BH3 Acquisition Co.,84.41M,-,102,-
811,DUET,DUET Acquisition Corp.,84.21M,-0.73%,100,-
812,DMYY,"dMY Squared Technology Group, Inc.",84.12M,-0.47%,5149,-
813,MDBH,"MDB Capital Holdings, LLC Class A common",83.20M,-1.71%,18519,6.09M
814,AITR,AI TRANSPORTATION ACQUISITION CORP,82.89M,-0.15%,754,-
815,OCAX,OCA Acquisition Corp.,82.85M,-0.12%,1374,-
816,EMCG,Embrace Change Acquisition Corp,82.84M,0.09%,27098,-
817,BRLS,Borealis Foods Inc.,81.90M,-5.26%,5480,33.39M
818,AEAE,AltEnergy Acquisition Corp.,81.70M,0.27%,10,-
819,OPOF,Old Point Financial Corporation,81.70M,7.34%,6079,60.88M
820,PUCK,Goal Acquisitions Corp.,81.42M,-,1,-
821,BACA,Berenson Acquisition Corp. I,81.42M,-0.19%,100,-
822,BUJA,Bukit Jalil Global Acquisition 1 Ltd,81.34M,-0.10%,10540,-
823,ASCB,A SPAC II Acquisition Corporation,81.21M,-0.09%,530,-
824,BAYA,Bayview Acquisition Corp,80.76M,-0.30%,1,-
825,LATG,Chenghe Acquisition I Co.,80.69M,-,25004,-
826,BWAQ,Blue World Acquisition Corporation,80.45M,-,4572,-
827,WEL,Integrated Wellness Acquisition Corp,80.43M,0.27%,300,-
828,OAKU,Oak Woods Acquisition Corporation,80.20M,-0.37%,901,-
829,FOA,Finance Of America Companies Inc.,79.95M,18.57%,259080,52.11M
830,LIBY,Liberty Resources Acquisition Corp.,79.83M,-,129,-
831,CETU,Cetus Capital Acquisition Corp.,79.39M,-0.28%,100,-
832,RFAC,RF Acquisition Corp.,78.22M,-,2,-
833,GBBK,Global Blockchain Acquisition Corp.,78.03M,-0.68%,2013,-
834,TCOA,Zalatoris Acquisition Corp,78.03M,0.09%,76549,-
835,GTAC,Global Technology Acquisition Corp. I,77.99M,1.91%,6,-
836,IRAA,Iris Acquisition Corp,77.52M,-0.09%,6,-
837,JVSA,JVSPAC Acquisition Corp.,77.25M,2.09%,66752,-
838,GDST,Goldenstone Acquisition Limited,75.83M,-0.54%,1,-
839,PBHC,"Pathfinder Bancorp, Inc.",75.63M,4.11%,4534,42.12M
840,BNAI,Brand Engagement Network Inc,75.41M,80.51%,-,-
841,INAQ,Insight Acquisition Corp.,75.40M,-,950,-
842,FEXD,Fintech Ecosystem Development Corp.,75.26M,-,99,-
843,ATMC,AlphaTime Acquisition Corp,75.20M,0.09%,41250,-
844,FRLA,Fortune Rise Acquisition Corporation,74.97M,-0.36%,610,-
845,TRON,Corner Growth Acquisition Corp. 2,74.64M,-,15,-
846,TETE,Technology & Telecommunication Acquisition Corporation,74.63M,-,669,-
847,CULL,"Cullman Bancorp, Inc.",74.60M,0.84%,3083,17.00M
848,SWSS,Clean Energy Special Situations Corp,74.46M,-0.09%,99,-
849,GMFI,Aetherium Acquisition Corp.,73.66M,-1.72%,536,-
850,CBRG,Chain Bridge I,73.58M,4.12%,4422,-
851,MGYR,"Magyar Bancorp, Inc.",73.19M,-,8993,30.24M
852,SIEB,Siebert Financial Corp.,72.83M,-5.15%,25621,65.55M
853,FORL,Four Leaf Acquisition Corporation,72.81M,-0.05%,215,-
854,TBNK,Territorial Bancorp Inc.,72.38M,0.24%,12881,49.65M
855,SSBI,Summit State Bank,71.23M,0.95%,8402,52.46M
856,MSSA,Metal Sky Star Acquisition Corporation,71.12M,0.18%,30082,-
857,FHLT,Future Health ESG Corp.,71.06M,-3.23%,2,-
858,UBCP,"United Bancorp, Inc.",70.73M,3.62%,3363,30.25M
859,SEPA,SEP Acquisition Corp.,70.59M,2.59%,3,-
860,AUBN,"Auburn National Bancorporation, Inc.",69.14M,2.54%,11078,23.21M
861,CLOE,Clover Leaf Capital Corp.,69.04M,-2.17%,2,-
862,IOR,"Income Opportunity Realty Investors, Inc.",68.78M,-,2680,-
863,DIST,Distoken Acquisition Corporation,68.48M,-1.21%,4,-
864,NVAC,NorthView Acquisition Corporation,67.93M,-,53,-
865,MAQC,Maquia Capital Acquisition Corporation,67.72M,-1.07%,6,-
866,ROCL,Roth Ch Acquisition V Co.,67.02M,-,1568,-
867,PTWO,"Pono Capital Two, Inc.",66.75M,-0.57%,2,-
868,KYCH,Keyarch Acquisition Corporation,65.67M,-0.09%,100,-
869,GTI,Graphjet Technology,64.91M,-5.60%,-,-
870,LSBK,"Lake Shore Bancorp, Inc.",63.97M,-1.57%,859,28.43M
871,AFAR,Aura FAT Projects Acquisition Corp,63.89M,-0.09%,107,-
872,NBST,Newbury Street Acquisition Corporation,63.67M,-0.64%,10,-
873,VBFC,Village Bank and Trust Financial Corp.,62.24M,-1.79%,671,25.69M
874,BHM,"Bluerock Homes Trust, Inc.",61.69M,1.82%,14605,41.09M
875,TCBC,"TC Bancshares, Inc.",61.48M,0.66%,4527,15.55M
876,IGTA,Inception Growth Acquisition Limited,60.91M,-0.18%,430,-
877,ACAC,Acri Capital Acquisition Corporation,60.61M,0.18%,4704,-
878,GRYP,Gryphon Digital Mining Inc.,60.42M,-4.49%,433165,2.17M
879,BNIX,Bannix Acquisition Corp.,59.83M,-,2,-
880,LRFC,Logan Ridge Finance Corporation,59.27M,0.45%,1178,20.30M
881,HAIA,Healthcare AI Acquisition Corp.,58.76M,-0.09%,123,-
882,AAME,Atlantic American Corporation,56.92M,-0.37%,3756,185.28M
883,MBTC,Nocturne Acquisition Corporation,56.59M,0.92%,50,-
884,CCTS,Cactus Acquisition Corp. 1 Limited,55.82M,0.18%,64,-
885,CLST,"Catalyst Bancorp, Inc.",55.71M,0.60%,14787,8.96M
886,IROQ,"IF Bancorp, Inc.",55.35M,-2.02%,3647,22.35M
887,HHGC,HHG Capital Corporation,55.25M,-0.14%,2,-
888,PEPL,PepperLime Health Acquisition Corporation,55.09M,-,10370,-
889,BYFC,Broadway Financial Corporation,54.56M,-1.01%,2296,32.11M
890,RACY,Relativity Acquisition Corp.,54.04M,-,46424,-
891,PLTN,Plutonian Acquisition Corp.,53.76M,-,1002,-
892,FUSB,"First US Bancshares, Inc.",53.28M,-0.22%,8149,40.41M
893,BRAC,Broad Capital Acquisition Corp.,52.97M,-,6,-
894,BAFN,BayFirst Financial Corp.,52.61M,-2.11%,11773,71.19M
895,CLRC,ClimateRock,52.38M,-0.62%,5008,-
896,SDIG,"Stronghold Digital Mining, Inc.",51.85M,5.94%,359814,74.97M
897,HNNA,"Hennessy Advisors, Inc.",50.87M,-,11009,24.02M
898,NICK,"Nicholas Financial, Inc.",50.52M,0.14%,3071,27.06M
899,BREZ,Breeze Holdings Acquisition Corp.,50.30M,0.43%,605,-
900,NSTS,"NSTS Bancorp, Inc.",49.96M,-0.32%,3846,7.10M
901,BRBS,"Blue Ridge Bankshares, Inc.",49.34M,2.39%,134094,99.26M
902,AQU,Aquaron Acquisition Corp.,49.31M,0.09%,102,-
903,APAC,StoneBridge Acquisition Corporation,49.09M,-3.33%,5923,-
904,BOTJ,"Bank of the James Financial Group, Inc.",49.07M,-1.64%,2825,43.33M
905,VSAC,Vision Sensing Acquisition Corp.,48.82M,-1.50%,2,-
906,WTMA,Welsbach Technology Metals Acquisition Corp.,48.62M,-,1,-
907,CFSB,"CFSB Bancorp, Inc.",48.62M,2.87%,255,8.41M
908,ZEO,ESGEN Acquisition Corp,48.59M,-0.31%,554123,-
909,MARX,Mars Acquisition Corp.,47.82M,0.19%,1125,-
910,HUDA,Hudson Acquisition I Corp.,47.34M,-,2491,-
911,ICCH,"ICC Holdings, Inc.",47.24M,-,271,81.12M
912,AOGO,Arogo Capital Acquisition Corp.,46.76M,-0.74%,100,-
913,WINV,WinVest Acquisition Corp.,45.96M,-0.18%,11,-
914,MGLD,"The Marygold Companies, Inc.",45.74M,-6.03%,5215,33.87M
915,SHFS,"SHF Holdings, Inc.",45.53M,6.02%,68554,16.66M
916,ASRV,"AmeriServ Financial, Inc.",44.75M,-0.38%,11397,53.41M
917,INTE,Integral Acquisition Corporation 1,44.07M,-,80,-
918,TCBS,"Texas Community Bancshares, Inc.",43.51M,2.53%,8410,10.93M
919,MCAF,Mountain Crest Acquisition Corp. IV,43.42M,9.75%,900,-
920,YOTA,Yotta Acquisition Corporation,43.39M,4.66%,4,-
921,KACL,Kairous Acquisition Corp. Limited,43.25M,0.09%,1632,-
922,ICMB,"Investcorp Credit Management BDC, Inc.",43.05M,-,42342,25.75M
923,MACA,Moringa Acquisition Corp,43.00M,0.09%,7,-
924,GROW,"U.S. Global Investors, Inc.",42.35M,-0.57%,175056,12.89M
925,PBM,Psyence Biomedical Ltd.,42.09M,-18.87%,2266379,-
926,TURN,180 Degree Capital Corp.,42.03M,1.17%,1521,-7.89M
927,CPBI,"Central Plains Bancshares, Inc.",41.97M,-0.78%,2590,-
928,ACBA,Ace Global Business Acquisition Limited,41.97M,-0.15%,7,-
929,FSEA,First Seacoast Bancorp,41.89M,-2.52%,550,13.62M
930,DHAC,Digital Health Acquisition Corp.,41.81M,1.40%,10,-
931,AIB,AIB Acquisition Corporation,41.72M,-0.69%,112,-
932,BCOW,"1895 Bancorp of Wisconsin, Inc.",41.30M,0.29%,4993,13.76M
933,KINS,"Kingstone Companies, Inc.",41.21M,3.13%,45510,144.68M
934,ASCA,A SPAC I Acquisition Corp.,41.18M,2.33%,513,-
935,OTEC,OceanTech Acquisitions I Corp.,41.10M,0.43%,14149,-
936,TGVC,TG Venture Acquisition Corp.,40.62M,-2.70%,8032,-
937,FGF,Fundamental Global Inc.,40.14M,5.76%,25240,26.84M
938,ADRT,Ault Disruptive Technologies Corporation,40.04M,4.90%,3553,-
939,DECA,Denali Capital Acquisition Corp.,39.93M,7.67%,32259,-
940,HYW,Hywin Holdings Ltd.,39.48M,4.29%,6766,288.92M
941,QOMO,Qomolangma Acquisition Corp.,38.94M,-,1,-
942,HUIZ,Huize Holding Limited,38.89M,11.05%,14792,1.22B
943,HFBL,"Home Federal Bancorp, Inc. of Louisiana",38.57M,-2.46%,1923,22.41M
944,NOVV,Nova Vision Acquisition Corporation,38.06M,-,101,-
945,WAVS,Western Acquisition Ventures Corp.,37.70M,0.57%,4,-
946,RAND,Rand Capital Corporation,35.91M,-0.83%,825,7.34M
947,AVHI,Achari Ventures Holdings Corp. I,34.78M,-,3,-
948,MCAG,Mountain Crest Acquisition Corp. V,34.24M,-1.02%,100,-
949,PBBK,"PB Bankshares, Inc.",33.90M,-0.08%,8257,12.95M
950,OPHC,"OptimumBank Holdings, Inc.",33.04M,0.70%,13319,23.12M
951,GREE,Greenidge Generation Holdings Inc.,32.34M,3.87%,203390,42.37M
952,KFFB,Kentucky First Federal Bancorp,31.70M,0.78%,5740,7.54M
953,FUFU,BitFuFu Inc.,31.09M,-0.45%,147269,250.64M
954,SAI,SAI.TECH Global Corporation,30.28M,4.96%,177218,8.29M
955,BTM,Bitcoin Depot Inc.,30.22M,3.92%,274273,1.19B
956,SWIN,Solowin Holdings Ordinary Share,29.56M,4.76%,1192399,4.45M
957,ABTS,Abits Group Inc.,28.80M,-7.40%,54821,131.28K
958,PPHP,PHP Ventures Acquisition Corp.,28.54M,-,1,-
959,ADOC,Edoc Acquisition Corp.,28.24M,3.27%,8473,-
960,AGBA,AGBA Acquisition Limited,26.23M,-1.44%,98154,-
961,SWAG,Stran & Company Inc,24.89M,1.49%,31236,70.86M
962,TCJH,Top KingWin Ltd,24.49M,-1.78%,3608,3.12M
963,CWD,CaliberCos Inc.,23.62M,2.68%,2732,88.46M
964,GBNY,"Generations Bancorp NY, Inc.",22.36M,5.15%,972,11.09M
965,BTCS,BTCS Inc.,21.97M,8.53%,67098,1.28M
966,BENF,Beneficient,21.06M,-6.84%,2351786,-160.64M
967,MIGI,"Mawson Infrastructure Group, Inc.",20.97M,11.90%,319930,46.41M
968,EQS,"Equus Total Return, Inc.",20.28M,-,938,60.00K
969,RMCO,Royalty Management Holding Corporation,18.10M,6.72%,118344,239.05K
970,NISN,"Nisun International Enterprise Development Group Co., Ltd",17.64M,1.84%,54160,243.07M
971,SVMH,SRIVARU Holding Limited,17.30M,2.25%,539480,112.41K
972,PT,Pintec Technology Holdings Limited,17.30M,1.39%,3574,9.65M
973,GLBZ,Glen Burnie Bancorp,17.30M,-4.00%,961,13.84M
974,MCVT,"Mill City Ventures III, Ltd.",16.54M,-2.63%,3020,2.51M
975,HNRA,HNR Acquisition Corp,15.71M,4.00%,561638,-
976,PNBK,"Patriot National Bancorp, Inc.",15.27M,-2.57%,1366,26.35M
977,COHN,Cohen & Company Inc.,14.48M,-4.22%,8253,82.98M
978,MEGL,Magic Empire Global Limited,13.17M,0.77%,45797,1.20M
979,GRDI,GRIID Infrastructure Inc.,13.11M,-7.52%,289490,27.21M
980,PWM,Prestige Wealth Inc.,12.81M,12.23%,189116,348.53K
981,CNFR,"Conifer Holdings, Inc.",12.61M,-9.24%,1998,106.12M
982,NMHI,Nature's Miracle Holding Inc.,10.76M,2.27%,340578,26.22M
983,PAPL,Pineapple Financial Inc.,10.20M,1.34%,6131,2.18M
984,AIHS,Senmiao Technology Limited,9.57M,1.00%,9236,7.30M
985,AAMC,Altisource Asset Management Corporation,9.51M,6.40%,13278,5.63M
986,ATIF,ATIF Holdings Limited,9.34M,2.94%,1565,2.28M
987,CARV,"Carver Bancorp, Inc.",8.02M,-3.07%,33450,27.57M
988,LMFA,"LM Funding America, Inc.",7.47M,4.26%,621804,10.05M
989,SNTG,Sentage Holdings Inc.,6.99M,8.09%,7951,-16.04K
990,OXBR,Oxbridge Re Holdings Limited,6.81M,6.60%,31388,-4.10M
991,AINC,Ashford Inc.,6.49M,-6.28%,21117,737.46M
992,LGHL,Lion Group Holding Ltd.,3.21M,6.20%,116458,15.18M
993,NCPL,Netcapital Inc.,1.91M,-4.69%,344426,8.94M
994,TIRX,Tian Ruixiang Holdings Ltd,1.78M,2.34%,11575,1.13M
995,RELI,"Reliance Global Group, Inc.",1.68M,-4.03%,130520,14.57M
996,DXF,Dunxin Financial Holdings Limited,1.46M,-3.37%,321818,-2.77M
997,AIMAU,Aimfinity Investment Corp. I,19.26K,-,14013,-
