,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
146,CFR,Cullen Frost Bankers Inc.,6.81B,0.28%,267033,1.94B
147,CACC,Credit Acceptance Corporation,6.75B,-0.29%,52124,1.90B
148,RLI,RLI Corp.,6.71B,0.58%,121548,1.51B
149,CBSH,"Commerce Bancshares, Inc.",6.62B,-0.10%,1156236,1.54B
150,CMA,Comerica Incorporated,6.56B,0.43%,2051485,3.50B
151,WAL,Western Alliance Bancorporation,6.39B,1.63%,2276157,2.56B
152,SIGI,"Selective Insurance Group, Inc.",6.26B,-0.46%,746481,4.23B
153,PNFP,"Pinnacle Financial Partners, Inc.",6.19B,-1.07%,1054515,1.60B
154,SSB,SouthState Corporation,6.15B,-0.34%,437080,1.63B
155,WTFC,Wintrust Financial Corporation,5.97B,0.76%,889836,2.16B
156,HLNE,Hamilton Lane Incorporated,5.96B,-0.16%,302644,489.97M
157,BPOP,"Popular, Inc.",5.94B,0.29%,3269120,2.57B
158,ESNT,Essent Group Ltd.,5.91B,0.02%,560378,1.11B
159,ZION,"Zions Bancorporation,NA",5.91B,-0.03%,20217993,2.98B
160,OBDC,Blue Owl Capital Corporation,5.88B,1.20%,2734719,1.58B
161,OMF,"OneMain Holdings, Inc.",5.80B,-0.02%,926663,2.56B
162,FAF,First American Financial Corporation,5.72B,-0.36%,655624,6.00B
163,PB,"Prosperity Bancshares, Inc.",5.67B,0.05%,462136,1.09B
164,MTG,MGIC Investment Corporation,5.66B,-0.05%,2348174,1.16B
165,BOKF,BOK Financial Corporation,5.61B,1.14%,349646,2.02B
166,SNV,Synovus Financial Corp.,5.58B,-0.58%,1225905,2.03B
167,FCFS,"FirstCash Holdings, Inc",5.34B,0.74%,437066,3.15B
168,AXS,AXIS Capital Holdings Limited,5.32B,0.21%,305355,5.64B
169,AMG,"Affiliated Managers Group, Inc.",5.28B,0.08%,172980,2.06B
170,FSK,FS KKR Capital Corp.,5.14B,0.65%,1841932,1.83B
171,JHG,Janus Henderson Group plc,5.06B,-0.51%,782689,2.10B
172,AGO,Assured Guaranty Ltd.,5.04B,0.14%,336557,1.37B
173,CADE,Cadence Bank,4.98B,0.82%,1501817,1.65B
174,MARA,"Marathon Digital Holdings, Inc.",4.96B,5.98%,55127705,387.51M
175,ONB,Old National Bancorp,4.80B,1.30%,4246669,1.78B
176,RDN,Radian Group Inc.,4.79B,-0.82%,2006020,1.24B
177,JXN,Jackson Financial Inc.,4.79B,-0.70%,1229281,3.16B
178,FNB,F.N.B. Corporation,4.77B,0.23%,2389529,1.50B
179,OZK,Bank OZK,4.77B,1.12%,2992891,1.79B
180,COOP,Mr. Cooper Group Inc.,4.73B,1.92%,1180161,1.79B
181,FG,"F&G Annuities & Life, Inc.",4.67B,2.75%,117460,4.50B
182,HOMB,"Home Bancshares, Inc. (Conway, AR)",4.66B,0.43%,929046,984.75M
183,BNRE,Brookfield Reinsurance Ltd.,4.65B,-0.27%,4753,6.25B
184,ACT,"Enact Holdings, Inc.",4.64B,0.48%,335575,1.15B
185,THG,"The Hanover Insurance Group, Inc.",4.62B,-0.15%,123528,5.99B
186,WU,The Western Union Company,4.62B,1.20%,3467625,4.36B
187,LNC,Lincoln National Corporation,4.60B,1.04%,1712948,11.65B
188,SLM,SLM Corporation,4.59B,-1.49%,11430598,1.46B
189,ESGR,Enstar Group Limited,4.57B,-0.61%,80756,1.43B
190,WTM,"White Mountains Insurance Group, Ltd.",4.57B,2.83%,12360,2.17B
191,UBSI,"United Bankshares, Inc.",4.52B,0.93%,2210476,1.02B
192,DNB,"Dun & Bradstreet Holdings, Inc.",4.47B,1.49%,1825249,2.31B
193,FRHC,Freedom Holding Corp.,4.47B,0.40%,75786,1.40B
194,AEL,American Equity Investment Life Holding Company,4.44B,0.02%,581217,2.84B
195,BNRE.A,Brookfield Reinsurance Ltd,4.40B,2.11%,600,6.25B
196,GGAL,Grupo Financiero Galicia S.A.,4.36B,2.05%,674603,8.95B
197,FFIN,"First Financial Bankshares, Inc.",4.30B,0.76%,1526752,481.18M
198,PFSI,"PennyMac Financial Services, Inc.",4.29B,-0.48%,235822,1.40B
199,GBCI,"Glacier Bancorp, Inc.",4.27B,0.53%,637574,794.97M
200,CRVL,CorVel Corporation,4.23B,-0.21%,83448,773.52M
201,MAIN,Main Street Capital Corporation,3.93B,0.83%,401341,500.39M
202,UMBF,UMB Financial Corporation,3.86B,0.19%,592586,1.42B
203,VLY,Valley National Bancorp,3.84B,0.40%,11325886,1.84B
204,AB,AllianceBernstein Holding L.P.,3.82B,-0.24%,238424,299.78M
205,PJT,PJT Partners Inc.,3.82B,-0.39%,333642,1.15B
206,COLB,"Columbia Banking System, Inc.",3.80B,-1.30%,14701450,1.78B
207,STEP,StepStone Group Inc.,3.78B,1.64%,435965,527.20M
208,KMPR,Kemper Corporation,3.76B,-0.49%,230772,4.94B
209,HWC,Hancock Whitney Corporation,3.67B,0.71%,950479,1.33B
210,MC,Moelis & Company,3.55B,0.85%,769617,854.75M
211,LU,Lufax Holding Ltd,3.52B,2.83%,1861222,5.46B
212,AMTD,AMTD IDEA Group,3.51B,0.59%,20689,235.75M
213,CNS,"Cohen & Steers, Inc.",3.48B,0.20%,136979,489.64M
214,TFSL,TFS Financial Corporation,3.46B,0.41%,470567,301.59M
215,LAZ,Lazard Ltd,3.41B,0.62%,1297698,2.52B
216,BGC,"BGC Group, Inc",3.39B,-0.59%,66680458,2.03B
217,SFBS,"ServisFirst Bancshares, Inc.",3.36B,0.11%,280573,422.64M
218,BMA,Banco Macro S.A.,3.32B,4.62%,259097,2.81B
219,IBOC,International Bancshares Corporation,3.29B,0.87%,1120587,798.87M
220,NNI,"Nelnet, Inc.",3.25B,0.33%,97190,1.15B
221,ABCB,Ameris Bancorp,3.15B,0.48%,669204,935.22M
222,BUR,Burford Capital Limited,3.15B,0.63%,905308,-
223,IFS,Intercorp Financial Services Inc.,3.12B,0.19%,35257,1.15B
224,NYCB,"New York Community Bancorp, Inc.",3.11B,4.00%,59420280,4.93B
225,ASB,Associated Banc-Corp,3.08B,0.85%,1135143,1.02B
226,VIRT,"Virtu Financial, Inc.",3.03B,1.58%,1152572,2.29B
227,FHI,"Federated Hermes, Inc.",3.02B,0.96%,519313,1.61B
228,WD,"Walker & Dunlop, Inc.",3.02B,-0.53%,265448,1.05B
229,QFIN,Qifu Technology Inc.,3.00B,-1.56%,2540596,2.30B
230,BHF,"Brighthouse Financial, Inc.",2.99B,1.04%,607854,4.12B
231,UCBI,"United Community Banks, Inc.",2.97B,0.72%,1260557,803.82M
232,APAM,Artisan Partners Asset Management Inc.,2.95B,0.96%,393093,975.13M
233,HGTY,"Hagerty, Inc.",2.92B,-2.53%,43882,1.00B
234,PIPR,Piper Sandler Companies,2.91B,-0.12%,82394,1.35B
235,CNO,"CNO Financial Group, Inc.",2.89B,0.65%,592762,4.15B
236,HTGC,"Hercules Capital, Inc.",2.85B,0.39%,721863,460.67M
237,BANF,BancFirst Corporation,2.82B,-0.20%,161042,602.41M
238,AX,"Axos Financial, Inc.",2.81B,0.10%,1073980,1.03B
239,GSHD,"Goosehead Insurance, Inc",2.80B,1.61%,352221,261.28M
240,TCBI,"Texas Capital Bancshares, Inc.",2.80B,1.58%,771956,1.00B
241,CATY,Cathay General Bancorp,2.78B,-0.21%,1606634,784.06M
242,FBP,First BanCorp.,2.76B,0.86%,2021264,868.86M
243,GNW,"Genworth Financial, Inc.",2.75B,1.45%,2600588,7.49B
244,GBDC,"Golub Capital BDC, Inc.",2.72B,0.76%,1141858,630.98M
245,MCY,Mercury General Corporation,2.69B,2.30%,166864,4.63B
246,FHB,"First Hawaiian, Inc.",2.68B,0.53%,1377415,810.31M
247,AMK,"AssetMark Financial Holdings, Inc.",2.68B,-0.75%,126505,708.50M
248,INTR,"Inter & Co, Inc.",2.66B,-3.43%,805524,975.89M
249,FIBK,"First Interstate BancSystem, Inc.",2.62B,0.76%,3865153,993.60M
250,AVAL,Grupo Aval Acciones y Valores S.A.,2.61B,-6.11%,1083368,2.82B
251,VCTR,"Victory Capital Holdings, Inc.",2.58B,1.24%,637961,821.03M
252,WSFS,WSFS Financial Corporation,2.49B,1.45%,792912,926.90M
253,AUB,Atlantic Union Bankshares Corporation,2.49B,1.66%,279761,670.27M
254,NMIH,"NMI Holdings, Inc.",2.42B,0.37%,945852,579.00M
255,FULT,Fulton Financial Corporation,2.40B,0.81%,1914451,1.03B
256,CBU,"Community Bank System, Inc.",2.37B,1.92%,349446,640.92M
257,BOH,Bank of Hawaii Corporation,2.36B,-0.17%,278649,664.63M
258,CVBF,CVB Financial Corp.,2.33B,-,2361734,545.32M
259,SFNC,Simmons First National Corporation,2.31B,1.88%,1234721,763.66M
260,PSEC,Prospect Capital Corporation,2.29B,0.91%,2252167,883.81M
261,EBC,"Eastern Bankshares, Inc.",2.29B,3.68%,5854855,292.60M
262,WAFD,WaFd Inc,2.23B,0.45%,938164,673.02M
263,BANC,"Banc of California, Inc.",2.23B,-1.76%,2657684,246.84M
264,PAX,Patria Investments Limited,2.17B,-,455714,307.16M
265,PPBI,"Pacific Premier Bancorp, Inc.",2.12B,2.12%,2290921,440.99M
266,SNEX,StoneX Group Inc.,2.09B,0.37%,216948,67.42B
267,INDB,Independent Bank Corp.,2.08B,2.02%,1199641,707.88M
268,SPNT,SiriusPoint Ltd.,2.06B,0.90%,479299,2.74B
269,PRK,Park National Corporation,2.06B,0.67%,142766,462.84M
270,UPST,"Upstart Holdings, Inc.",2.06B,1.63%,3755763,513.56M
271,PLMR,"Palomar Holdings, Inc.",2.04B,-1.00%,336677,375.93M
272,SBCF,Seacoast Banking Corporation of Florida,2.00B,1.57%,1356815,529.87M
273,FFBC,First Financial Bancorp.,2.00B,1.47%,865846,797.09M
274,TOWN,TowneBank,1.99B,2.39%,627461,770.52M
275,BKU,"BankUnited, Inc.",1.97B,1.07%,684359,873.04M
276,AGM.A,Federal Agricultural Mortgage Corporation,1.96B,12.14%,296,350.20M
277,AGM,Federal Agricultural Mortgage Corporation,1.95B,1.79%,120815,350.20M
278,HTH,Hilltop Holdings Inc.,1.95B,0.57%,251887,1.18B
279,FRME,First Merchants Corporation,1.95B,0.28%,749631,647.50M
280,BBAR,BBVA Argentina,1.92B,3.57%,839552,971.94M
281,TSLX,"Sixth Street Specialty Lending, Inc.",1.90B,1.02%,323512,438.09M
282,BRP,"BRP Group, Inc.",1.90B,-0.48%,437174,1.22B
283,BFH,"Bread Financial Holdings, Inc.",1.86B,-1.09%,541795,3.06B
284,NAVI,Navient Corporation,1.85B,0.85%,1977645,1.15B
285,TBBK,"The Bancorp, Inc.",1.81B,0.09%,2341090,447.82M
286,DFIN,"Donnelley Financial Solutions, Inc.",1.81B,-1.13%,138369,797.20M
287,IBTX,"Independent Bank Group, Inc.",1.78B,-0.73%,416172,503.86M
288,TFIN,"Triumph Financial, Inc.",1.77B,0.01%,219190,406.05M
289,NWLI,"National Western Life Group, Inc.",1.77B,-0.09%,19614,703.35M
290,MBIN,Merchants Bancorp,1.76B,-2.00%,287924,522.51M
291,LOB,"Live Oak Bancshares, Inc.",1.72B,0.82%,331478,405.72M
292,WSBC,"WesBanco, Inc.",1.68B,0.97%,1407212,584.05M
293,GSBD,"Goldman Sachs BDC, Inc.",1.67B,1.00%,1610648,454.91M
294,ENVA,"Enova International, Inc.",1.67B,-0.99%,293348,1.23B
295,STC,Stewart Information Services Corporation,1.66B,1.30%,339429,2.21B
296,VRTS,"Virtus Investment Partners, Inc.",1.66B,-1.14%,56967,845.27M
297,GCMG,GCM Grosvenor Inc,1.65B,1.94%,369650,445.00M
298,PUYI,Highest Performances Holdings Inc.,1.65B,33.93%,7452,15.81M
299,OFG,OFG Bancorp,1.65B,0.23%,329435,628.61M
300,CLBK,"Columbia Financial, Inc.",1.65B,1.34%,178610,228.47M
301,BBUC,Brookfield Business Corporation,1.65B,-0.89%,65736,7.68B
302,FBK,FB Financial Corporation,1.64B,1.19%,114928,475.22M
303,LKFN,Lakeland Financial Corporation,1.63B,-0.57%,915177,241.04M
304,RNST,Renasant Corporation,1.63B,0.73%,362631,616.81M
305,NBTB,NBT Bancorp Inc.,1.57B,2.26%,615603,495.12M
306,BANR,Banner Corporation,1.56B,1.16%,617446,609.63M
307,CUBI,"Customers Bancorp, Inc.",1.56B,1.87%,343814,683.40M
308,TRMK,Trustmark Corporation,1.56B,1.57%,707296,735.26M
309,OCSL,Oaktree Specialty Lending Corporation,1.52B,0.52%,684936,398.09M
310,FIHL,Fidelis Insurance Holdings Limited,1.50B,1.41%,850893,3.60B
311,CHCO,City Holding Company,1.48B,0.65%,194988,286.63M
312,DWAC,Digital World Acquisition Corp.,1.45B,-5.11%,764209,-
313,HMN,Horace Mann Educators Corporation,1.44B,1.56%,168170,1.49B
314,EFSC,Enterprise Financial Services Corp,1.44B,1.52%,261023,594.71M
315,FINV,FinVolution Group,1.43B,-2.51%,1090981,1.70B
316,SKWD,"Skyward Specialty Insurance Group, Inc.",1.41B,1.36%,890704,827.04M
317,NWBI,"Northwest Bancshares, Inc.",1.41B,1.47%,5258309,526.63M
318,HTLF,"Heartland Financial USA, Inc.",1.41B,1.20%,1731265,558.60M
319,FBNC,First Bancorp,1.40B,2.07%,301785,386.34M
320,NTB,The Bank of N.T. Butterfield & Son Limited,1.40B,1.71%,396927,578.60M
321,FCF,First Commonwealth Financial Corporation,1.34B,1.46%,542223,467.47M
322,WT,"WisdomTree, Inc.",1.31B,3.72%,1531992,349.04M
323,HOPE,"Hope Bancorp, Inc.",1.29B,1.51%,1441469,542.34M
324,NBHC,National Bank Holdings Corporation,1.29B,1.46%,126252,417.57M
325,SYBT,"Stock Yards Bancorp, Inc.",1.28B,1.93%,182446,325.76M
326,NMFC,New Mountain Finance Corporation,1.26B,0.41%,833566,374.84M
327,BUSE,First Busey Corporation,1.26B,1.02%,351790,439.44M
328,STEL,"Stellar Bancorp, Inc.",1.24B,1.42%,375027,452.38M
329,NRDS,"NerdWallet, Inc.",1.24B,-4.73%,650858,599.40M
330,WABC,Westamerica Bancorporation,1.24B,1.21%,293179,324.80M
331,PWP,Perella Weinberg Partners,1.23B,1.89%,458154,648.65M
332,CASH,"Pathward Financial, Inc.",1.22B,-0.27%,433582,659.96M
333,SRCE,1st Source Corporation,1.21B,0.67%,255201,363.40M
334,SAFT,"Safety Insurance Group, Inc.",1.19B,2.73%,186183,930.96M
335,NIC,"Nicolet Bankshares, Inc.",1.19B,2.68%,48058,272.50M
336,STBA,"S&T Bancorp, Inc.",1.15B,1.23%,666312,389.14M
337,LMND,"Lemonade, Inc.",1.15B,-0.55%,993903,429.80M
338,TRUP,"Trupanion, Inc.",1.14B,-0.88%,681399,1.11B
339,CET,Central Securities Corp.,1.13B,0.38%,38704,57.37M
340,EIG,"Employers Holdings, Inc.",1.12B,0.59%,107050,850.90M
341,HCI,"HCI Group, Inc.",1.12B,-0.39%,136868,550.67M
342,TCBK,TriCo Bancshares,1.11B,3.20%,310543,394.09M
343,PFS,"Provident Financial Services, Inc.",1.10B,2.54%,1920688,451.38M
344,ECPG,"Encore Capital Group, Inc.",1.09B,-1.16%,291776,1.22B
345,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",1.03B,-0.04%,122056,166.67M
346,CSWC,Capital Southwest Corporation,1.02B,0.89%,709211,168.90M
347,BCSF,"Bain Capital Specialty Finance, Inc.",1.02B,0.51%,280248,297.79M
348,VBTX,"Veritex Holdings, Inc.",1.02B,1.97%,2206283,377.75M
349,SCRM,Screaming Eagle Acquisition Corp.,1.00B,-,770189,-
350,PFBC,Preferred Bank,984.87M,0.39%,489861,351.76M
351,CVII,Churchill Capital Corp VII,976.99M,0.09%,3280,-
352,BBDC,"Barings BDC, Inc.",969.45M,0.98%,540589,289.20M
353,PEBO,Peoples Bancorp Inc.,968.98M,1.90%,336527,411.61M
354,AMSF,"AMERISAFE, Inc.",968.61M,-0.16%,891014,306.85M
355,GABC,"German American Bancorp, Inc.",946.71M,0.34%,984440,248.14M
356,QCRH,"QCR Holdings, Inc.",939.90M,-,125416,337.15M
357,CIFR,Cipher Mining Inc.,939.88M,11.36%,9896792,-
358,PX,"P10, Inc.",937.44M,1.48%,653458,241.73M
359,BHLB,"Berkshire Hills Bancorp, Inc.",936.18M,2.24%,236149,411.83M
360,MFIC,MidCap Financial Investment Corporation,931.82M,0.56%,579215,276.52M
361,SII,Sprott Inc.,931.77M,1.01%,93673,169.02M
362,SASR,"Sandy Spring Bancorp, Inc.",929.36M,1.26%,1973869,439.19M
363,RBCAA,"Republic Bancorp, Inc.",911.66M,1.77%,45889,312.61M
364,BY,"Byline Bancorp, Inc.",902.22M,0.15%,91175,355.28M
