,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
730,IDAI,T Stamp Inc.,9.51M,2.88%,1524291,4.49M
731,VHAI,Vocodia Holdings Corp,9.47M,17.53%,2744689,156.61K
732,SLNH,"Soluna Holdings, Inc.",9.21M,-10.40%,78090,15.13M
733,EZFL,EZFill Holdings Inc.,9.17M,-13.30%,52233,22.38M
734,WLDS,Wearable Devices Ltd.,9.11M,6.36%,40841,29.00K
735,ELWS,"Earlyworks Co., Ltd",9.02M,0.35%,187311,312.44K
736,JTAI,Jet.AI Inc.,8.64M,59.72%,100811203,29.90M
737,SOBR,"SOBR Safe, Inc.",8.62M,-3.01%,77136,144.33K
738,ISUN,"iSun, Inc.",8.52M,-1.64%,353119,96.13M
739,BLBX,Blackboxstocks Inc.,8.44M,0.57%,4907,3.39M
740,VISL,"Vislink Technologies, Inc.",8.43M,-3.46%,10702,26.79M
741,WETG,"WeTrade Group, Inc.",8.27M,-2.91%,14422,4.72M
742,LYT,Lytus Technologies Holdings PTV. Ltd.,8.09M,-4.15%,141129,19.39M
743,JNVR,Janover Inc.,8.00M,-1.48%,1026,2.11M
744,SCKT,"Socket Mobile, Inc.",7.62M,-1.98%,9082,17.81M
745,QH,Quhuo Limited,7.59M,-0.83%,3650,510.07M
746,MICS,"The Singing Machine Company, Inc.",7.44M,-1.69%,39855,29.05M
747,IFBD,"Infobird Co., Ltd",7.33M,-,253695,2.93M
748,MIND,"MIND Technology, Inc.",7.32M,-4.58%,3053,38.72M
749,UAVS,"AgEagle Aerial Systems, Inc.",7.13M,-11.00%,660013,15.29M
750,BOXL,Boxlight Corporation,7.08M,-3.95%,136537,176.72M
751,OST,"Ostin Technology Group Co., Ltd.",7.00M,-2.85%,57969,57.53M
752,MOB,Mobilicom Ltd,6.96M,1.48%,11887,1.32M
753,GVP,"GSE Systems, Inc.",6.72M,16.92%,46124,45.64M
754,INTZ,Intrusion Inc.,6.68M,-13.62%,995830,5.69M
755,OMQS,OMNIQ Corp.,6.62M,-,15449,90.75M
756,MITQ,"Moving iMage Technologies, Inc.",6.53M,3.24%,13589,19.41M
757,AWIN,AERWINS Technologies Inc.,6.00M,-2.94%,206566,3.18M
758,WAVD,"WaveDancer, Inc.",5.94M,4.78%,26942,8.55M
759,MRIN,Marin Software Incorporated,5.81M,0.94%,120032,17.73M
760,SOPA,Society Pass Incorporated,5.59M,-4.73%,2374818,9.14M
761,IMTE,Integrated Media Technology Limited,5.59M,0.39%,375,573.11K
762,AMST,Amesite Inc.,5.47M,9.71%,36908,432.36K
763,VS,Versus Systems Inc.,5.18M,3.45%,56877,454.56K
764,VVPR,VivoPower International PLC,5.13M,3.97%,2667,15.06M
765,NXTP,"NextPlay Technologies, Inc.",5.07M,-12.84%,48293,2.91M
766,CAMP,CalAmp Corp.,4.87M,-3.67%,77007,264.74M
767,TGL,Treasure Global Inc.,4.38M,3.59%,30906,53.59M
768,VJET,voxeljet AG,4.20M,2.24%,84813,29.61M
769,NTRP,NextTrip Inc.,3.89M,-7.48%,4562,522.87K
770,CETX,"Cemtrex, Inc.",3.63M,0.99%,11174,64.28M
771,FRGT,"Freight Technologies, Inc.",3.62M,4.73%,192326,19.68M
772,DATS,"DatChat, Inc.",3.48M,-4.29%,37336,4.42K
773,ASNS,"Actelis Networks, Inc.",3.29M,-1.90%,5830,7.12M
774,PEGY,Pineapple Energy Inc.,3.21M,17.76%,4316149,73.79M
775,VERB,"Verb Technology Company, Inc.",3.01M,215.86%,530178924,4.41M
776,WTO,UTime Limited,2.88M,-,16270,21.55M
777,OBLG,"Oblong, Inc.",2.64M,-11.30%,7093704,4.29M
778,PRSO,Peraso Inc.,2.42M,-2.37%,50361,15.80M
779,TAOP,Taoping Inc.,2.31M,1.74%,102725,27.77M
780,MYSZ,"My Size, Inc.",1.90M,3.87%,91393,6.69M
781,AUUD,Auddia Inc.,1.82M,-15.50%,626434,-
782,SYTA,Siyata Mobile Inc.,1.76M,-0.33%,1228,8.47M
783,XTKG,X3 Holdings Co Ltd.,1.61M,11.64%,384380,10.05M
784,WISA,"WiSA Technologies, Inc.",1.60M,-7.72%,30940656,2.58M
785,ASTI,"Ascent Solar Technologies, Inc.",1.32M,2.65%,292284,458.26K
786,BCAN,BYND Cannasoft Enterprises Inc.,979.14K,-4.33%,61311739,1.11M
