,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
156,APPF,"AppFolio, Inc.",7.94B,-0.65%,185310,620.45M
157,DSGX,The Descartes Systems Group Inc.,7.94B,-0.51%,194273,572.93M
158,WIX,Wix.com Ltd.,7.91B,-2.02%,517417,1.56B
159,AMKR,"Amkor Technology, Inc.",7.74B,-0.67%,1743091,6.50B
160,OLED,Universal Display Corporation,7.58B,-0.20%,502645,576.43M
161,YMM,Full Truck Alliance Co. Ltd.,7.45B,-2.99%,13168725,1.19B
162,SAIC,Science Applications International Corporation,7.43B,-0.38%,834290,7.68B
163,CCCS,CCC Intelligent Solutions Holdings Inc.,7.33B,-2.64%,8620006,866.38M
164,CIEN,Ciena Corporation,7.26B,-0.42%,2215055,4.37B
165,FN,Fabrinet,7.19B,1.05%,398044,2.72B
166,LYFT,"Lyft, Inc.",7.12B,-3.26%,12003654,4.40B
167,CGNX,Cognex Corporation,6.99B,0.12%,1810720,837.55M
168,S,"SentinelOne, Inc.",6.96B,-5.15%,20716537,621.15M
169,BILL,BILL Holdings Inc,6.79B,-0.23%,1423898,1.19B
170,VNT,Vontier Corporation,6.66B,1.10%,784097,3.10B
171,SPSC,"SPS Commerce, Inc.",6.66B,-0.33%,413281,536.91M
172,RMBS,Rambus Inc.,6.62B,-0.72%,2103972,461.12M
173,UI,Ubiquiti Inc.,6.61B,1.36%,81773,1.88B
174,FOUR,"Shift4 Payments, Inc.",6.58B,1.57%,1260603,2.56B
175,ARW,"Arrow Electronics, Inc.",6.56B,-1.22%,455485,33.11B
176,ALTR,Altair Engineering Inc.,6.52B,-3.13%,589850,612.70M
177,MTSI,"MACOM Technology Solutions Holdings, Inc.",6.48B,-0.49%,802855,625.45M
178,KVYO,"Klaviyo, Inc.",6.38B,-0.71%,4517640,698.10M
179,NOVT,Novanta Inc.,6.25B,1.51%,304400,881.66M
180,QLYS,"Qualys, Inc.",6.13B,-0.60%,1209046,554.46M
181,G,Genpact Limited,6.03B,-0.81%,1385606,4.48B
182,NSIT,"Insight Enterprises, Inc.",6.01B,0.83%,533425,9.18B
183,LFUS,"Littelfuse, Inc.",5.75B,0.47%,302132,2.36B
184,DV,"DoubleVerify Holdings, Inc.",5.67B,0.67%,2249149,572.54M
185,TENB,"Tenable Holdings, Inc.",5.45B,-0.45%,1785328,798.71M
186,STNE,StoneCo Ltd.,5.45B,-0.29%,4835363,2.31B
187,FRSH,Freshworks Inc.,5.37B,-1.44%,2928679,596.43M
188,VRNS,"Varonis Systems, Inc.",5.35B,-0.33%,1687600,499.16M
189,ST,Sensata Technologies Holding plc,5.35B,0.42%,1380617,4.05B
190,ALGM,"Allegro MicroSystems, Inc.",5.33B,-3.27%,2695439,1.08B
191,CLS,Celestica Inc.,5.33B,-1.01%,2372787,7.96B
192,PEGA,Pegasystems Inc.,5.25B,-0.89%,540869,1.43B
193,BRZE,"Braze, Inc.",5.18B,-2.89%,1426336,439.52M
194,DLO,DLocal Limited,5.15B,2.01%,1632199,580.77M
195,HCP,"HashiCorp, Inc.",5.13B,2.95%,5343573,583.14M
196,SMAR,Smartsheet Inc.,5.11B,-6.90%,7908343,958.34M
197,EXLS,"ExlService Holdings, Inc.",5.10B,-2.86%,2621376,1.63B
198,KD,"Kyndryl Holdings, Inc.",5.08B,-2.08%,1232769,16.46B
